Datum Zeit Status
2014-02-06 10:12:43 starte
2014-02-06 10:12:43 Idle
2014-02-06 10:12:52 Intro
2014-02-06 10:12:58 Warten
2014-02-06 10:13:31 Idle
2014-02-06 10:13:35 Intro
2014-02-06 10:13:41 Warten
2014-02-06 10:14:01 Erfolg
2014-02-06 10:14:31 starte
2014-02-06 10:14:31 Idle
2014-02-06 10:14:33 Intro
2014-02-06 10:14:34 beende

2014-02-06 10:15:03 starte
2014-02-06 10:15:03 Idle
2014-02-06 10:15:07 Intro
2014-02-06 10:15:08 beende

2014-03-03 09:51:00 starte
2014-03-03 09:51:00 Idle
2014-03-03 09:51:11 PersonOut
2014-03-03 09:51:13 PersonIn
2014-03-03 09:51:13 Intro
2014-03-03 09:51:16 PersonOut
2014-03-03 09:51:16 PersonIn
2014-03-03 09:51:16 PersonOut
2014-03-03 09:51:18 Warten
2014-03-03 09:51:20 Idle
2014-03-03 09:51:28 PersonIn
2014-03-03 09:51:28 Intro
2014-03-03 09:51:32 PersonIn
2014-03-03 09:51:34 PersonIn
2014-03-03 09:51:34 Warten
2014-03-03 09:51:35 PersonIn
2014-03-03 09:51:35 Erfolg
2014-03-03 09:52:01 PersonOut
2014-03-03 09:52:01 PersonOut
2014-03-03 09:52:01 PersonOut
2014-03-03 09:52:01 PersonOut
2014-03-03 09:52:05 Idle
2014-03-03 09:52:19 PersonIn
2014-03-03 09:52:19 Intro
2014-03-03 09:52:20 PersonIn
2014-03-03 09:52:20 PersonIn
2014-03-03 09:52:21 PersonIn
2014-03-03 09:52:21 Erfolg
2014-03-03 09:52:30 PersonOut
2014-03-03 09:52:37 PersonOut
2014-03-03 09:52:39 PersonOut
2014-03-03 09:52:42 PersonOut
2014-03-03 09:52:43 PersonIn
2014-03-03 09:52:45 PersonOut
2014-03-03 09:52:51 Idle
2014-03-03 09:53:00 PersonIn
2014-03-03 09:53:00 Intro
2014-03-03 09:53:00 PersonOut
2014-03-03 09:53:00 PersonIn
2014-03-03 09:53:06 Warten
2014-03-03 09:53:08 PersonIn
2014-03-03 09:53:12 PersonIn
2014-03-03 09:53:33 PersonIn
2014-03-03 09:53:33 Erfolg
2014-03-03 09:53:34 PersonOut
2014-03-03 09:53:34 PersonIn
2014-03-03 09:53:39 PersonOut
2014-03-03 09:53:41 PersonOut
2014-03-03 09:53:47 PersonIn
2014-03-03 09:54:07 beende

