id, start, end, time
0,1393685802,1393685820,18
1,1393685820,1393685823,3
3,1393685824,1393685824,0
2,1393685824,1393685825,1
4,1393685835,1393685850,15
8,1393685869,1393685870,1
9,1393685886,1393685887,1
7,1393685865,1393685887,22
10,1393685890,1393685896,6
11,1393685897,1393685898,1
6,1393685858,1393685907,49
5,1393685844,1393685912,68
14,1393685913,1393685914,1
15,1393685915,1393685922,7
13,1393685911,1393685925,14
12,1393685903,1393685925,22
16,1393685926,1393685930,4
18,1393685942,1393685944,2
19,1393685943,1393685951,8
20,1393685947,1393685954,7
23,1393686017,1393686018,1
17,1393685935,1393686018,83
22,1393685967,1393686028,61
24,1393686029,1393686031,2
21,1393685950,1393686068,118
26,1393686081,1393686081,0
25,1393686074,1393686108,34
27,1393686110,1393686115,5
28,1393686110,1393686117,7
29,1393686117,1393686125,8
30,1393686119,1393686132,13
33,1393686172,1393686182,10
32,1393686159,1393686182,23
31,1393686133,1393686206,73
35,1393686211,1393686212,1
34,1393686182,1393686217,35
36,1393686219,1393686229,10
39,1393686239,1393686240,1
40,1393686254,1393686262,8
37,1393686237,1393686269,32
41,1393686272,1393686275,3
42,1393686275,1393686277,2
45,1393686323,1393686324,1
46,1393686326,1393686330,4
43,1393686292,1393686353,61
47,1393686355,1393686364,9
44,1393686295,1393686413,118
50,1393686423,1393686454,31
52,1393686458,1393686458,0
51,1393686438,1393686460,22
48,1393686409,1393686467,58
53,1393686459,1393686472,13
54,1393686471,1393686475,4
